Common name;Species for tree;Groupe/clade;Ordre;Family;Achat - obtention des graines;Reference;Génotype/ Lot;Poids;nombre de graines;PMG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
Sorgho;Sorghum bicolor;Monocot;Poales;Poaceae;La Ferme de Sainte Marthe;2446N;Millet Noir, 21-09001;150.000;6521;23.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ipomée;Ipomoea purpurea;Lamids;Solanales;Convolvulaceae;La Ferme de Sainte Marthe;1665A;22-07062;9.532;375;25.419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Concombre;Cucumis sativus;Fabids;Cucurbitales;Cucurbitaceae;Graines Baumaux;8425P;F1 Bush Champion;5.000;175.00;28.571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
liseron des haies;Calystegia sepium;Lamids;Solanales;Convolvulaceae;INRAe;Bruno Chauvel (Dijon);CAGSE_1945;5.000;170.00;29.412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melon;Cucumis melo;Fabids;Cucurbitales;Cucurbitaceae;Graines Baumaux;8686;Ogen;5.000;150.00;33.333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tournesol;Helianthus annuus;Campanulids;Asterales;Asteraceae;Semences du Puy;;118323;5.000;120;41.667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maize;Zea mays;Monocot;Poales;Poaceae;La Ferme de Sainte Marthe;1070A;Tom Pouce, 23-01068;9.103;100;91.030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zucchini;Cucurbita pepo;Fabids;Cucurbitales;Cucurbitaceae;Graines Baumaux;8610;Courge Muscade De Provence;5.000;35.00;142.857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soybean;Glycine max;Fabids;Fabales;Fabaceae;Graines Baumaux;73352;Soja potager ou Edamame Green Shell;100.000;691.09;144.700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capucine naine;Tropaeolum majus;Malvids;Geraniales;Tropaeolaceae;La Ferme de Sainte Marthe;2397A;Impératrice des Indes, 22-03080;18.071;120;150.592;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bean;Phaseolus vulgaris;Fabids;Fabales;Fabaceae;INRAe, Vilmorin;Semences Emersys;Flavert, N08812;5.000;27.78;180.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pastèque;Citrullus lanatus;Fabids;Cucurbitales;Cucurbitaceae;La Ferme de Sainte Marthe;Gillian;;5.000;33.00;181.818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feve;Vicia faba;Fabids;Fabales;Fabaceae;La Ferme de Sainte Marthe; 2327A;117119;80.000;80;1000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
